bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
3,2.25,1820,6000,1.0,0,0,4,7,1120.0,700,1964,0,47.5684,-122.3,1970,6232
3,1.75,1680,8725,1.0,0,0,3,8,1240.0,440,1978,0,47.3107,-122.397,2020,8352
2,1.0,740,5995,1.0,0,0,4,7,740.0,0,1949,0,47.7291,-122.337,1140,5995
3,2.25,1440,5150,2.0,0,0,3,7,1440.0,0,1997,0,47.5456,-122.356,1530,5238
3,2.5,1600,6848,2.0,0,0,3,7,1600.0,0,2000,0,47.3303,-122.271,1700,7210
3,1.0,1010,5864,1.0,0,0,3,7,1010.0,0,1915,0,47.5733,-122.381,1290,5000
3,3.25,3870,33980,2.0,0,0,3,10,3150.0,720,1991,0,47.5589,-122.117,3590,10750
4,3.5,3660,4760,2.0,0,0,3,9,2840.0,820,2014,0,47.6482,-122.409,3210,4640
5,3.25,4140,32700,1.0,0,4,3,10,2190.0,1950,1973,0,47.7633,-122.369,3220,22077
2,1.5,1140,7620,1.0,0,0,4,6,1140.0,0,1925,0,47.5277,-122.351,1300,7620
2,1.75,1220,15600,1.0,0,0,3,6,1220.0,0,1972,0,47.2853,-122.265,1510,17818
3,2.25,2140,3000,2.0,0,0,3,9,2140.0,0,1905,2006,47.6767,-122.351,1430,4712
3,1.0,1830,12036,1.0,0,0,3,7,1550.0,280,1977,0,47.3126,-122.043,1810,12036
6,1.5,1930,8400,1.0,0,0,3,7,1030.0,900,1971,0,47.4869,-122.34,1780,9520
5,3.25,3490,23400,1.0,0,0,4,8,1890.0,1600,1957,0,47.5701,-122.124,2660,12400
4,3.25,3030,7644,2.0,0,0,3,8,2830.0,200,2006,0,47.5457,-121.881,3400,6908
4,3.75,3920,4500,3.0,0,0,3,8,3920.0,0,2013,0,47.6805,-122.346,2040,3000
4,2.5,4940,10037,1.0,0,4,3,9,3450.0,1490,1953,0,47.5095,-122.247,2430,9272
4,2.5,2610,7091,2.0,0,0,3,9,2610.0,0,1987,0,47.3017,-122.349,2610,7773
3,2.5,1410,2500,2.0,0,0,3,7,1410.0,0,2006,0,47.5132,-122.358,1290,5190
5,1.75,3240,34510,2.0,0,0,4,7,2690.0,550,1963,0,47.5529,-122.027,2650,28250
3,1.0,1280,3870,1.0,0,0,3,7,640.0,640,1945,0,47.6163,-122.294,1280,4800
3,2.5,2100,7600,1.0,0,0,4,7,1450.0,650,1980,0,47.6968,-122.127,2010,7600
4,2.5,2910,9131,2.0,0,0,3,10,2910.0,0,2014,0,47.6826,-122.186,1880,11212
3,2.25,2220,12056,2.0,0,0,3,8,2220.0,0,1985,0,47.7148,-122.101,2320,12025
5,4.0,3760,22763,1.0,0,3,4,11,1910.0,1850,1969,0,47.5333,-122.22,3730,11201
4,3.5,2850,2910,2.0,0,2,3,8,1970.0,880,1905,1996,47.6855,-122.321,1460,3880
3,2.25,3060,16000,2.0,0,0,3,10,3060.0,0,1988,0,47.6189,-122.23,3510,13162
4,3.25,3910,7500,2.0,0,2,4,11,2550.0,1360,1933,0,47.6448,-122.409,3070,7500
4,2.75,2190,3267,2.0,0,0,3,8,2190.0,0,2004,0,47.7751,-122.168,2190,3619
2,1.0,960,6263,1.0,0,1,4,6,960.0,0,1942,0,47.6646,-122.202,1460,6054
3,1.75,1920,9306,1.0,0,0,3,7,1000.0,920,1984,0,47.3319,-122.267,1860,8458
3,2.5,2170,9900,1.0,0,0,3,7,1690.0,480,1980,0,47.3634,-122.031,1420,10614
3,1.75,1770,10125,2.0,0,0,3,7,1770.0,0,1944,1978,47.7289,-122.353,1680,9825
3,1.75,1690,8190,1.0,0,0,4,8,1690.0,0,1958,0,47.5857,-122.172,1840,8705
5,1.75,2150,7171,1.0,0,0,4,7,1460.0,690,1970,0,47.3952,-122.176,1710,7300
3,1.75,1160,5850,1.0,0,0,4,6,1160.0,0,1918,0,47.5064,-122.356,1110,8382
1,1.0,630,5150,1.0,0,0,4,5,630.0,0,1954,0,47.6923,-122.369,1390,5150
4,2.25,2200,6967,2.0,0,0,3,8,2200.0,0,1986,0,47.7355,-122.202,1970,7439
3,2.5,2510,47044,1.0,0,0,4,7,1910.0,600,1975,0,47.7531,-122.14,2510,42803
4,1.0,1530,3900,1.5,0,0,4,7,1530.0,0,1908,0,47.6748,-122.379,1300,3900
3,1.0,1060,9506,1.0,0,0,3,7,1060.0,0,1959,0,47.7317,-122.31,1520,8469
4,3.5,2850,4416,1.5,0,0,3,7,2040.0,810,1926,0,47.6835,-122.342,1860,4416
3,1.75,1320,35100,1.0,0,0,3,7,1320.0,0,1990,0,47.312,-122.129,1660,35100
3,2.0,1310,7000,1.0,0,0,4,7,1310.0,0,1979,0,47.303,-122.383,1390,7500
5,2.75,2770,6116,1.0,0,0,3,7,1490.0,1280,1979,0,47.4847,-122.291,1920,6486
4,1.75,1880,12150,1.0,0,0,3,7,1280.0,600,1976,0,47.3272,-122.363,1980,9680
5,1.75,2220,6000,1.5,0,0,3,7,1420.0,800,1923,0,47.648,-122.384,1550,1715
4,4.25,5660,193593,2.0,0,0,3,10,4100.0,1560,2001,0,47.7064,-121.981,3620,207141
4,2.25,2380,16236,1.0,0,0,3,7,1540.0,840,1961,0,47.6126,-122.12,2230,8925
4,2.0,2340,10507,1.5,0,0,4,6,2340.0,0,1959,0,47.3578,-122.178,990,10507
4,2.5,2970,34981,2.0,0,0,3,9,2970.0,0,1998,0,47.7365,-122.037,3170,30277
6,3.0,2180,7956,2.0,0,0,3,7,2180.0,0,1980,0,47.3054,-122.305,2214,7684
2,1.0,1040,13920,1.0,0,0,3,6,1040.0,0,1973,0,47.3756,-122.306,1100,7575
1,1.0,550,1279,2.0,0,0,3,7,550.0,0,2008,0,47.616,-122.314,1460,1385
3,2.5,2480,37843,1.5,1,3,4,8,2480.0,0,1974,0,47.4003,-122.422,2350,42122
3,2.5,2700,6947,2.0,0,3,3,9,2700.0,0,2013,0,47.5172,-122.208,2500,6947
3,1.75,1410,4080,1.0,0,0,4,7,1000.0,410,1950,0,47.6808,-122.384,1410,4080
4,2.75,2220,5310,1.0,0,0,5,7,1170.0,1050,1951,0,47.5801,-122.294,1540,4200
4,1.0,1710,117176,1.5,0,0,4,6,1710.0,0,1942,0,47.4497,-122.212,1940,12223
2,1.75,1210,131115,1.5,0,0,5,7,1210.0,0,1950,0,47.4599,-122.45,2020,185565
4,2.5,1980,12062,2.0,0,0,3,8,1980.0,0,1992,0,47.4038,-122.167,2300,7902
4,2.5,4280,12796,2.0,0,0,3,11,3400.0,880,1999,0,47.5588,-122.124,3520,9593
3,1.75,1530,6743,1.0,0,0,3,7,1410.0,120,1955,0,47.5745,-122.396,2040,6000
3,2.25,1220,5739,1.0,0,0,3,7,790.0,430,1984,0,47.6952,-122.326,1870,5739
2,1.75,1440,5680,1.0,0,0,4,8,1440.0,0,1978,0,47.3825,-122.319,1320,3547
2,1.0,850,5225,1.0,0,0,3,7,850.0,0,1949,0,47.5311,-122.38,1230,5225
4,2.5,2835,6598,2.0,0,0,3,8,2835.0,0,2002,0,47.3878,-122.034,2770,6969
4,2.75,1540,4840,1.0,0,2,4,7,850.0,690,1929,0,47.5491,-122.375,1180,4840
2,1.75,1270,1685,2.0,0,0,3,8,1270.0,0,2012,0,47.5646,-122.295,1270,1843
1,0.75,740,1284,1.0,0,0,4,6,740.0,0,1928,0,47.6741,-122.406,1430,3988
3,1.75,1490,6930,1.0,0,0,4,7,1490.0,0,1990,0,47.3682,-122.179,1880,6861
4,1.5,1370,7944,1.5,0,0,3,7,1370.0,0,1961,0,47.4224,-122.289,1370,9181
4,2.75,1240,3867,1.0,0,0,3,7,800.0,440,1987,0,47.7157,-122.284,1150,7733
3,1.75,2200,7706,2.0,0,2,3,7,2200.0,0,1908,1988,47.3878,-122.326,1170,70973
3,1.5,1660,6000,1.5,0,0,3,7,1660.0,0,1937,0,47.6409,-122.401,1640,6000
2,1.5,1530,1012,2.0,0,0,3,8,1200.0,330,2005,0,47.602,-122.306,1530,1425
3,2.75,2370,4632,2.0,0,0,3,7,2370.0,0,2002,0,47.3794,-122.022,2290,5012
4,1.75,1930,7245,1.0,0,0,4,8,1510.0,420,1972,0,47.6396,-122.112,1880,7245
4,2.5,2270,11500,1.0,0,0,3,8,1540.0,730,1967,0,47.7089,-122.241,2020,10918
4,2.75,2750,17789,1.5,0,0,3,8,1980.0,770,1914,1992,47.6141,-122.212,3060,11275
3,1.75,2000,5000,1.0,0,0,4,7,1110.0,890,1921,0,47.6859,-122.399,1750,5000
3,2.0,3010,5000,2.0,0,2,5,9,1890.0,1120,1931,0,47.6347,-122.396,2688,5000
2,2.25,2130,4920,1.5,0,4,4,7,1530.0,600,1941,0,47.573,-122.409,2130,4920
3,3.5,2500,4270,2.0,0,0,3,8,2500.0,0,2000,0,47.536,-121.877,2420,4205
2,1.0,1250,9270,1.0,0,0,4,7,1250.0,0,1948,0,47.7284,-122.339,1130,6800
3,1.75,1570,15330,1.0,0,0,3,7,1080.0,490,1956,0,47.4608,-122.34,1250,13330
3,2.5,2920,3942,3.0,0,0,3,10,2920.0,0,2008,0,47.531,-122.204,2920,3942
3,1.75,2000,9760,1.0,0,0,4,8,1400.0,600,1978,0,47.4417,-122.134,1890,8089
3,1.0,1130,8159,1.0,0,0,4,7,1130.0,0,1954,0,47.7362,-122.333,1570,8162
2,1.0,1370,8400,1.0,0,0,3,7,1370.0,0,1948,0,47.7344,-122.336,1330,8396
5,4.5,4130,10404,2.0,0,0,3,10,4130.0,0,2004,0,47.5556,-122.03,3890,11531
5,2.75,3360,9200,2.0,0,0,3,9,3360.0,0,2014,0,47.7754,-122.173,3360,9713
3,1.75,1160,5082,1.0,0,0,3,6,580.0,580,1942,0,47.503,-122.262,1730,6000
5,2.5,2100,17825,1.0,0,0,4,7,1400.0,700,1974,0,47.3094,-122.191,2200,14602
2,1.0,1280,6000,1.0,0,0,3,7,1280.0,0,1965,0,47.6339,-122.282,2460,4800
3,2.5,1700,6000,2.0,0,0,3,8,1700.0,0,1997,0,47.2615,-122.221,1940,6626
3,2.0,1160,13747,1.0,0,0,5,5,580.0,580,1931,0,47.585,-122.051,2961,16320
3,1.75,1230,9600,1.0,0,0,4,7,1230.0,0,1984,0,47.3675,-122.095,1330,8250
3,1.75,1940,10245,1.0,0,0,3,7,1940.0,0,1957,0,47.5833,-122.241,2720,11448
3,2.25,1740,10836,1.0,0,0,3,7,910.0,830,1981,0,47.3976,-122.166,2090,7500
5,2.25,2480,12070,2.0,0,0,3,9,2480.0,0,1978,0,47.631,-122.052,2570,12000
4,3.25,4800,12727,2.0,0,0,3,10,4800.0,0,2011,0,47.5311,-122.134,4750,13602
3,2.5,2480,53250,2.0,0,0,3,9,2480.0,0,1990,0,47.3323,-122.079,2510,36549
3,1.0,1310,7125,1.0,0,0,4,7,1310.0,0,1978,0,47.3739,-122.148,1650,7290
4,2.5,3120,49456,2.0,1,4,4,9,2590.0,530,1974,1989,47.3535,-122.323,2030,32181
4,3.0,2490,5064,2.0,0,0,3,7,2490.0,0,2007,0,47.5139,-122.189,2470,5064
4,2.5,2690,8036,2.0,0,0,4,9,2690.0,0,1987,0,47.6596,-122.144,2420,8087
3,1.0,1250,18616,1.0,0,0,4,6,1250.0,0,1972,0,47.3414,-122.047,1920,15654
3,2.5,2120,5277,2.0,0,0,3,7,2120.0,0,2005,0,47.6811,-122.034,2370,5257
3,1.0,1300,20812,1.0,0,0,3,6,1300.0,0,1927,0,47.5435,-122.359,1210,17340
4,1.75,1830,6000,1.0,0,0,4,7,930.0,900,1939,0,47.6536,-122.41,1540,6000
3,2.5,2110,4549,2.0,0,0,4,8,2110.0,0,1989,0,47.3885,-122.154,2110,4030
4,2.5,2692,8392,2.0,0,0,3,9,2692.0,0,2014,0,47.3519,-122.197,2574,14446
4,2.5,2030,3974,2.0,0,0,3,8,2030.0,0,1994,0,47.5692,-122.006,1780,3953
3,1.0,660,6600,1.0,0,0,4,5,660.0,0,1940,0,47.4842,-122.33,1320,6600
5,4.0,4700,22326,2.0,0,0,3,11,4700.0,0,2002,0,47.5417,-122.111,4730,27110
4,2.5,2500,4000,2.0,0,0,3,8,2500.0,0,2014,0,47.5902,-122.311,1480,4300
3,2.0,2350,5080,1.5,0,0,3,8,1780.0,570,1929,0,47.5516,-122.263,1700,5080
3,1.75,1760,8400,1.0,0,0,4,8,1460.0,300,1960,0,47.5355,-122.39,1980,8400
4,1.5,2150,11026,1.0,0,0,4,7,2150.0,0,1952,0,47.7635,-122.263,1760,10283
4,2.5,3100,5700,2.0,0,0,3,9,3100.0,0,2011,0,47.3696,-122.058,3060,6000
3,2.5,2250,4134,2.0,0,0,3,9,2250.0,0,2004,0,47.6651,-122.084,2390,4134
4,1.5,1890,6052,1.0,0,0,4,7,1890.0,0,1955,0,47.7055,-122.3,1510,6072
3,2.25,2680,41804,1.0,0,0,3,9,2680.0,0,1989,0,47.4828,-121.73,2680,40866
5,3.5,4140,6770,2.0,0,0,3,9,3030.0,1110,2004,0,47.5381,-122.069,3960,5431
4,2.5,3400,9692,2.0,0,0,3,9,3400.0,0,2007,0,47.708,-122.109,3070,7375
3,1.75,1500,8173,1.0,0,0,3,7,1500.0,0,1997,0,47.7293,-122.227,1970,8173
3,2.0,1550,15040,1.0,0,0,4,6,1550.0,0,1958,0,47.4873,-122.099,1510,41416
4,2.5,2060,10125,2.0,0,0,4,7,1560.0,500,1979,0,47.764,-122.262,1760,9876
1,1.0,720,4800,1.0,0,0,3,6,720.0,0,1914,0,47.5303,-122.27,1240,4860
3,2.5,1040,2643,2.0,0,0,3,7,720.0,320,2004,0,47.5165,-122.268,1540,5110
3,2.75,3130,19530,1.0,1,4,3,8,1690.0,1440,1947,1984,47.5895,-122.111,2980,18782
2,1.0,1370,11584,1.0,0,0,4,6,1370.0,0,1950,0,47.4224,-122.293,1330,8012
5,3.5,3490,21780,2.0,0,0,3,8,3490.0,0,1996,0,47.6707,-122.144,3070,7829
4,2.5,2720,34498,1.0,0,0,5,7,1360.0,1360,1966,0,47.5832,-122.02,1920,22474
7,3.0,5350,14400,2.5,0,0,4,10,5020.0,330,1910,0,47.6295,-122.285,3050,7469
3,1.5,1580,7200,1.0,0,0,4,7,1080.0,500,1976,0,47.2761,-122.152,1580,7470
2,1.0,780,9750,1.0,0,0,3,6,780.0,0,1937,0,47.4816,-122.322,1670,9750
6,4.0,3600,6224,2.0,0,0,3,9,2610.0,990,1945,2006,47.6531,-122.405,1430,6224
3,2.25,2190,8188,2.0,0,0,3,8,1810.0,380,1978,0,47.6883,-122.113,2190,8374
4,3.5,3290,8059,2.0,0,0,3,9,3290.0,0,2012,0,47.5573,-122.02,3290,10758
5,2.5,3150,9134,1.0,0,0,4,8,1640.0,1510,1966,0,47.4934,-122.189,1990,9133
3,2.25,2140,9775,1.0,0,0,4,7,1470.0,670,1978,0,47.306,-122.379,2050,8625
3,2.5,2370,4324,2.0,0,0,3,8,2370.0,0,2006,0,47.3515,-121.999,2370,4348
3,2.0,2350,12480,1.0,0,0,3,7,1600.0,750,1981,0,47.7661,-122.262,2160,12000
3,2.0,1530,8700,1.0,0,0,4,7,1530.0,0,1970,0,47.4529,-122.207,1960,7600
3,1.75,1620,12825,1.0,0,0,3,8,1340.0,280,1962,0,47.3321,-122.323,2076,11200
5,3.25,3480,6507,2.0,0,0,3,9,3480.0,0,2014,0,47.607,-122.053,3360,5398
3,1.5,2120,6290,1.0,0,0,4,8,1220.0,900,1949,0,47.5658,-122.318,1620,5400
3,3.5,2760,4500,2.0,0,0,3,9,2120.0,640,2004,0,47.6529,-122.372,1950,6000
4,2.5,2120,215186,2.0,0,0,2,7,2120.0,0,1983,0,47.701,-121.857,2000,215186
2,1.0,950,3090,1.0,0,0,4,6,950.0,0,1909,0,47.551,-122.276,1230,4120
2,1.0,990,3000,1.0,0,0,4,6,990.0,0,1918,0,47.6839,-122.345,1120,3000
3,1.75,1790,6980,1.0,0,0,3,7,1330.0,460,1980,0,47.7311,-122.226,1770,8081
2,0.75,520,6862,1.0,0,0,4,4,520.0,0,1924,1980,47.326,-122.037,1170,8756
3,2.25,1730,9516,1.0,0,0,3,8,1180.0,550,1978,0,47.3823,-122.166,1870,8165
6,2.5,3190,12196,2.0,0,0,4,8,3190.0,0,1979,0,47.6309,-122.103,2790,13068
2,1.0,1010,4320,1.0,0,0,5,7,1010.0,0,1924,0,47.6846,-122.317,1680,4320
3,2.0,1110,7231,1.0,0,0,4,7,1110.0,0,1991,0,47.4036,-122.191,1550,7245
4,1.75,960,8863,1.0,0,0,5,6,580.0,380,1949,0,47.5372,-122.289,1720,8249
2,2.0,1240,2500,2.0,0,0,3,7,1240.0,0,1985,0,47.6793,-122.395,1660,5000
3,2.5,1520,4170,2.0,0,0,3,7,1520.0,0,2004,0,47.3842,-122.04,1560,4237
2,1.5,830,1020,2.0,0,0,3,7,830.0,0,2006,0,47.5604,-122.363,830,1379
3,1.5,1590,7080,1.0,0,2,3,8,1310.0,280,1952,0,47.5244,-122.386,2080,7200
3,1.75,1300,6318,1.0,0,0,3,7,1300.0,0,1980,0,47.2752,-122.251,1150,8002
3,1.0,1570,8316,1.0,0,0,3,7,1070.0,500,1962,0,47.3943,-122.198,2030,8295
5,2.25,2640,14959,1.0,0,0,4,7,1770.0,870,1929,0,47.6191,-122.234,3240,17904
2,1.0,1210,6000,1.0,0,0,4,7,1000.0,210,1942,0,47.6482,-122.402,1840,6000
2,1.0,1270,4500,1.5,0,0,4,7,1270.0,0,1919,0,47.6059,-122.295,2140,4550
2,2.0,1650,6840,1.5,0,0,5,7,1650.0,0,1916,0,47.6512,-122.338,1700,4560
4,2.5,3280,27441,2.0,0,0,3,9,3280.0,0,1996,0,47.6711,-122.012,3200,26960
3,2.75,2660,32757,1.0,0,0,4,8,2660.0,0,1975,0,47.7649,-122.098,2720,35191
4,1.0,1380,7110,1.5,0,0,3,6,1380.0,0,1939,0,47.3846,-122.226,1430,7110
3,1.0,1330,5850,1.0,0,0,3,7,930.0,400,1954,0,47.5498,-122.298,1440,5850
2,1.0,840,10465,1.0,0,0,3,6,840.0,0,1951,0,47.755,-122.317,1320,8515
4,2.75,2330,7642,1.0,0,0,3,8,1800.0,530,1990,0,47.2946,-122.37,2320,7933
3,1.5,1800,4700,1.0,0,0,3,7,1200.0,600,1941,0,47.6858,-122.385,1580,4700
2,1.0,810,6150,1.0,0,0,3,7,810.0,0,1950,0,47.7289,-122.34,1080,7200
3,1.75,2360,4063,1.0,0,0,5,7,1180.0,1180,1940,0,47.6902,-122.382,1660,4063
3,1.0,2400,17239,1.0,0,0,4,7,1890.0,510,1940,0,47.75,-122.245,2390,7350
3,1.0,1160,8320,1.0,0,0,4,7,1160.0,0,1959,0,47.3831,-122.288,1480,7800
5,1.75,1940,6654,1.5,0,0,4,7,1940.0,0,1953,0,47.4663,-122.359,2300,9500
5,1.5,1690,7725,1.5,0,0,4,7,1690.0,0,1961,0,47.3859,-122.288,1690,7739
3,1.0,1310,3963,1.0,0,0,5,7,1310.0,0,1986,0,47.6826,-122.096,1010,3363
2,1.0,1070,6120,1.0,0,0,3,6,1070.0,0,1962,0,47.4989,-122.317,1130,6120
3,2.25,1950,8661,1.0,0,0,4,8,1950.0,0,1966,0,47.3127,-122.362,1950,8800
2,1.0,920,5029,1.0,0,0,4,7,920.0,0,1938,0,47.6726,-122.265,1230,5029
3,2.0,2000,7000,2.0,0,0,3,7,2000.0,0,1916,1986,47.5452,-122.393,1840,7000
4,3.25,4580,4838,2.0,0,3,4,11,3080.0,1500,1991,0,47.6305,-122.354,3540,6483
3,2.5,1600,6700,2.0,0,0,3,8,1600.0,0,1991,0,47.3618,-122.074,1790,7577
3,1.5,2240,3750,1.0,0,0,3,7,1220.0,1020,1952,0,47.6624,-122.336,1570,3400
3,2.25,1410,8909,2.0,0,2,3,7,1410.0,0,1988,0,47.3983,-122.31,2050,8909
4,2.5,4570,16015,2.0,0,2,3,11,4570.0,0,1990,0,47.6246,-122.067,4490,17668
4,2.5,1960,8540,1.0,0,0,3,7,1220.0,740,1955,0,47.7654,-122.359,1910,9120
4,2.25,2160,8817,1.0,0,0,3,7,1460.0,700,1965,0,47.7595,-122.356,1880,8817
3,1.5,1500,15000,1.0,0,0,3,7,1500.0,0,1952,0,47.3926,-122.208,1790,13905
4,2.5,2180,5367,2.0,0,0,3,7,2180.0,0,2000,0,47.3775,-122.022,2180,5130
4,2.5,3160,13063,2.0,0,0,3,10,3160.0,0,1999,0,47.5996,-122.021,3350,14213
3,2.0,1310,6265,1.0,0,0,3,7,1310.0,0,1988,0,47.3893,-122.051,1100,6360
4,2.75,3527,7200,2.0,0,0,3,7,3527.0,0,2005,0,47.3823,-122.3,2490,7200
4,2.5,2820,15000,2.0,0,0,4,9,2820.0,0,1985,0,47.7255,-122.101,2440,15000
6,2.0,1750,17685,1.0,0,0,4,5,1750.0,0,1943,0,47.5096,-122.178,1750,9209
3,1.75,2100,29735,1.0,0,0,4,7,1080.0,1020,1957,0,47.7622,-122.302,2100,11250
4,2.25,2530,24700,2.0,0,0,3,7,2530.0,0,1974,0,47.3939,-122.177,2650,24700
3,1.0,860,7632,1.0,0,0,3,6,860.0,0,1920,0,47.4623,-122.345,890,7632
2,1.75,2320,5500,1.5,0,2,3,8,1720.0,600,1925,2000,47.586,-122.292,2380,5000
4,2.5,2710,6583,2.0,0,0,3,9,2710.0,0,2003,0,47.4922,-122.141,2710,6583
4,2.5,2170,10500,1.0,0,0,3,7,1570.0,600,1962,0,47.7512,-122.295,1850,11127
3,2.25,1500,15334,2.0,0,0,4,7,1500.0,0,1992,0,47.3719,-122.091,1530,8102
4,2.25,2920,20400,1.0,0,0,4,11,2920.0,0,1966,0,47.6237,-122.228,3080,20400
3,1.75,1370,10866,1.0,0,0,4,6,1370.0,0,1945,0,47.6774,-122.164,1580,14250
3,1.75,1260,12750,1.0,0,0,3,7,1260.0,0,1979,0,47.7289,-122.233,1460,7865
4,2.25,2060,44431,2.0,0,0,3,7,2060.0,0,1988,0,47.744,-122.046,2160,45657
3,2.0,1460,3600,2.0,0,0,3,7,1460.0,0,1902,0,47.6123,-122.314,1590,1210
4,2.5,2770,63118,2.0,0,0,3,9,2770.0,0,1997,0,47.6622,-121.961,2770,44224
3,1.0,1400,10425,1.0,0,0,4,7,1400.0,0,1968,0,47.2738,-122.301,1440,10425
2,1.0,1120,6380,1.0,0,0,3,7,1120.0,0,1942,1994,47.6951,-122.316,1230,6380
3,2.5,1600,2231,2.0,0,0,3,7,1600.0,0,2003,0,47.3314,-122.29,1600,2962
3,1.5,1790,229125,2.0,0,3,3,7,1790.0,0,1987,0,47.2309,-122.009,1970,216928
3,1.5,1180,9048,1.0,0,0,3,7,1180.0,0,1960,0,47.4327,-122.328,1460,8942
3,2.5,2410,9916,2.0,0,0,4,10,2410.0,0,1989,0,47.6911,-122.103,2310,8212
3,2.25,2160,8114,1.0,0,0,3,8,1460.0,700,1960,0,47.7176,-122.35,2160,8000
2,1.0,600,6120,1.0,0,0,3,5,600.0,0,1943,1989,47.5,-122.317,1090,6120
4,3.25,4140,11007,2.0,0,0,3,10,4140.0,0,2013,0,47.5707,-122.217,2150,9663
3,1.75,1070,7200,1.0,0,0,3,7,1070.0,0,1994,0,47.3129,-122.023,1280,7200
3,1.75,2180,14734,2.0,0,0,3,9,2180.0,0,1990,0,47.4831,-121.767,2300,21618
3,1.5,2140,3600,2.0,0,0,3,9,1900.0,240,1925,0,47.6337,-122.365,2020,4800
3,1.0,1400,8451,1.5,0,0,3,7,1400.0,0,1953,0,47.7719,-122.337,1590,8433
3,1.5,2390,4000,1.5,0,0,3,9,1690.0,700,1936,0,47.6604,-122.28,2350,4000
4,2.5,2105,6093,2.0,0,0,3,8,2105.0,0,2003,0,47.3531,-122.147,1930,8022
4,2.25,3360,10810,2.0,0,0,4,9,3360.0,0,1988,0,47.3316,-122.203,2590,10810
4,3.0,2560,5606,2.0,0,0,3,9,2560.0,0,2004,0,47.3274,-122.178,2667,7334
4,1.75,1940,8990,1.0,0,0,4,8,1560.0,380,1956,0,47.7021,-122.241,2310,11745
1,1.0,1110,5421,1.0,0,0,3,6,1110.0,0,1935,0,47.7322,-122.359,1230,8100
3,2.5,3530,9753,2.0,0,0,3,10,3530.0,0,1997,0,47.5539,-122.103,3220,9234
5,2.5,2870,16238,2.0,0,0,4,8,2870.0,0,1962,0,47.6308,-122.238,2870,16238
2,0.75,840,40642,1.0,1,4,4,6,840.0,0,1937,0,47.404,-122.447,1850,64069
